comp,year,round_no,match_no,comedian_name,comedian_number,seat_no,score
m1,2022,1,,真空ジェシカ,,2,92
m1,2022,1,,真空ジェシカ,,3,92
m1,2022,1,,真空ジェシカ,,4,92
m1,2022,1,,真空ジェシカ,,5,94
m1,2022,1,,真空ジェシカ,,6,94
m1,2022,1,,真空ジェシカ,,7,88
m1,2022,1,,オズワルド,,1,87
m1,2022,1,,オズワルド,,2,93
m1,2022,1,,オズワルド,,3,90
m1,2022,1,,オズワルド,,4,90
m1,2022,1,,オズワルド,,5,95
m1,2022,1,,オズワルド,,6,92
m1,2022,1,,オズワルド,,7,92
m1,2022,1,,ロングコートダディ,,1,94
m1,2022,1,,ロングコートダディ,,2,92
m1,2022,1,,ロングコートダディ,,3,94
m1,2022,1,,ロングコートダディ,,4,96
m1,2022,1,,ロングコートダディ,,5,96
m1,2022,1,,ロングコートダディ,,6,95
m1,2022,1,,ロングコートダディ,,7,93
m1,2022,1,,さや香,,1,92
m1,2022,1,,さや香,,2,96
m1,2022,1,,さや香,,3,95
m1,2022,1,,さや香,,4,97
m1,2022,1,,さや香,,5,95
m1,2022,1,,さや香,,6,97
m1,2022,1,,さや香,,7,95
m1,2022,1,,男性ブランコ,,1,86
m1,2022,1,,男性ブランコ,,2,91
m1,2022,1,,男性ブランコ,,3,92
m1,2022,1,,男性ブランコ,,4,95
m1,2022,1,,男性ブランコ,,5,94
m1,2022,1,,男性ブランコ,,6,96
m1,2022,1,,男性ブランコ,,7,96
m1,2022,1,,ダイヤモンド,,1,86
m1,2022,1,,ダイヤモンド,,2,90
m1,2022,1,,ダイヤモンド,,3,88
m1,2022,1,,ダイヤモンド,,4,88
m1,2022,1,,ダイヤモンド,,5,88
m1,2022,1,,ダイヤモンド,,6,89
m1,2022,1,,ダイヤモンド,,7,87
m1,2022,1,,ヨネダ2000,,1,91
m1,2022,1,,ヨネダ2000,,2,91
m1,2022,1,,ヨネダ2000,,3,96
m1,2022,1,,ヨネダ2000,,4,91
m1,2022,1,,ヨネダ2000,,5,97
m1,2022,1,,ヨネダ2000,,6,90
m1,2022,1,,ヨネダ2000,,7,91
m1,2022,1,,キュウ,,1,87
m1,2022,1,,キュウ,,2,90
m1,2022,1,,キュウ,,3,88
m1,2022,1,,キュウ,,4,90
m1,2022,1,,キュウ,,5,89
m1,2022,1,,キュウ,,6,90
m1,2022,1,,キュウ,,7,86
m1,2022,1,,ウエストランド,,1,91
m1,2022,1,,ウエストランド,,2,93
m1,2022,1,,ウエストランド,,3,93
m1,2022,1,,ウエストランド,,4,94
m1,2022,1,,ウエストランド,,5,98
m1,2022,1,,ウエストランド,,6,96
m1,2022,1,,ウエストランド,,7,94
m1,2021,2,,インディアンス,,1,0
m1,2021,2,,インディアンス,,2,0
m1,2021,2,,インディアンス,,3,0
m1,2021,2,,インディアンス,,4,0
m1,2021,2,,インディアンス,,5,0
m1,2021,2,,インディアンス,,6,0
m1,2021,2,,インディアンス,,7,1
m1,2021,2,,錦鯉,,1,0
m1,2021,2,,錦鯉,,2,1
m1,2021,2,,錦鯉,,3,1
m1,2021,2,,錦鯉,,4,1
m1,2021,2,,錦鯉,,5,1
m1,2021,2,,錦鯉,,6,1
m1,2021,2,,錦鯉,,7,0
m1,2021,2,,オズワルド,,1,1
m1,2021,2,,オズワルド,,2,0
m1,2021,2,,オズワルド,,3,0
m1,2021,2,,オズワルド,,4,0
m1,2021,2,,オズワルド,,5,0
m1,2021,2,,オズワルド,,6,0
m1,2021,2,,オズワルド,,7,0
m1,2021,1,,モグライダー,,1,91
m1,2021,1,,モグライダー,,2,93
m1,2021,1,,モグライダー,,3,92
m1,2021,1,,モグライダー,,4,89
m1,2021,1,,モグライダー,,5,90
m1,2021,1,,モグライダー,,6,89
m1,2021,1,,モグライダー,,7,93
m1,2021,1,,ランジャタイ,,1,87
m1,2021,1,,ランジャタイ,,2,91
m1,2021,1,,ランジャタイ,,3,90
m1,2021,1,,ランジャタイ,,4,96
m1,2021,1,,ランジャタイ,,5,89
m1,2021,1,,ランジャタイ,,6,87
m1,2021,1,,ランジャタイ,,7,88
m1,2021,1,,ゆにばーす,,1,89
m1,2021,1,,ゆにばーす,,2,92
m1,2021,1,,ゆにばーす,,3,91
m1,2021,1,,ゆにばーす,,4,91
m1,2021,1,,ゆにばーす,,5,93
m1,2021,1,,ゆにばーす,,6,88
m1,2021,1,,ゆにばーす,,7,94
m1,2021,1,,ハライチ,,1,88
m1,2021,1,,ハライチ,,2,90
m1,2021,1,,ハライチ,,3,89
m1,2021,1,,ハライチ,,4,90
m1,2021,1,,ハライチ,,5,89
m1,2021,1,,ハライチ,,6,92
m1,2021,1,,ハライチ,,7,98
m1,2021,1,,真空ジェシカ,,1,90
m1,2021,1,,真空ジェシカ,,2,89
m1,2021,1,,真空ジェシカ,,3,92
m1,2021,1,,真空ジェシカ,,4,94
m1,2021,1,,真空ジェシカ,,5,94
m1,2021,1,,真空ジェシカ,,6,90
m1,2021,1,,真空ジェシカ,,7,89
m1,2021,1,,オズワルド,,1,94
m1,2021,1,,オズワルド,,2,95
m1,2021,1,,オズワルド,,3,95
m1,2021,1,,オズワルド,,4,96
m1,2021,1,,オズワルド,,5,96
m1,2021,1,,オズワルド,,6,96
m1,2021,1,,オズワルド,,7,93
m1,2021,1,,ロングコートダディ,,1,89
m1,2021,1,,ロングコートダディ,,2,90
m1,2021,1,,ロングコートダディ,,3,93
m1,2021,1,,ロングコートダディ,,4,95
m1,2021,1,,ロングコートダディ,,5,95
m1,2021,1,,ロングコートダディ,,6,91
m1,2021,1,,ロングコートダディ,,7,96
m1,2021,1,,錦鯉,,1,92
m1,2021,1,,錦鯉,,2,94
m1,2021,1,,錦鯉,,3,94
m1,2021,1,,錦鯉,,4,90
m1,2021,1,,錦鯉,,5,96
m1,2021,1,,錦鯉,,6,94
m1,2021,1,,錦鯉,,7,95
m1,2021,1,,インディアンス,,1,92
m1,2021,1,,インディアンス,,2,91
m1,2021,1,,インディアンス,,3,93
m1,2021,1,,インディアンス,,4,94
m1,2021,1,,インディアンス,,5,94
m1,2021,1,,インディアンス,,6,93
m1,2021,1,,インディアンス,,7,98
m1,2021,1,,もも,,1,91
m1,2021,1,,もも,,2,90
m1,2021,1,,もも,,3,91
m1,2021,1,,もも,,4,96
m1,2021,1,,もも,,5,95
m1,2021,1,,もも,,6,92
m1,2021,1,,もも,,7,90
m1,2020,2,,見取り図,,1,1
m1,2020,2,,見取り図,,2,0
m1,2020,2,,見取り図,,3,1
m1,2020,2,,見取り図,,4,0
m1,2020,2,,見取り図,,5,0
m1,2020,2,,見取り図,,6,0
m1,2020,2,,見取り図,,7,0
m1,2020,2,,マヂカルラブリー,,1,0
m1,2020,2,,マヂカルラブリー,,2,1
m1,2020,2,,マヂカルラブリー,,3,0
m1,2020,2,,マヂカルラブリー,,4,1
m1,2020,2,,マヂカルラブリー,,5,1
